epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.379,1.97541,1.38953,1.02604,0.93434,0.85143,0.91298,0.40763,1.85949,1.14965,1.00673,0.000330827,0.000330827,0.0672481
2,238.722,1.97088,1.38288,1.02163,0.90563,0.85751,0.91375,0.38685,1.91137,1.15703,1.01116,0.000657585,0.000657585,0.0342415
3,358.822,1.94959,1.35626,1.01943,0.90001,0.82257,0.89585,0.39425,1.86703,1.1795,1.00863,0.000977743,0.000977743,0.00122837
4,478.473,1.95556,1.38821,1.03441,0.89598,0.86116,0.90831,0.40382,1.85428,1.18714,1.00402,0.0009703,0.0009703,0.0009703
5,597.744,1.99749,1.42477,1.02623,0.9091,0.81956,0.90369,0.38188,1.91637,1.1994,1.02216,0.0009604,0.0009604,0.0009604
6,716.35,1.95846,1.41584,1.01612,0.90989,0.87099,0.92003,0.4135,1.83459,1.14987,1.00678,0.0009505,0.0009505,0.0009505
7,835.017,1.97786,1.36903,1.02638,0.92466,0.8474,0.91656,0.39944,1.8779,1.16744,1.01117,0.0009406,0.0009406,0.0009406
8,953.593,1.96862,1.4103,1.01018,0.92756,0.82786,0.91039,0.39742,1.86338,1.17894,1.00444,0.0009307,0.0009307,0.0009307
9,1072.21,1.95245,1.36248,1.02411,0.92389,0.81845,0.89691,0.38383,1.87087,1.16406,1.00585,0.0009208,0.0009208,0.0009208
10,1191.06,1.97407,1.38576,1.02022,0.90612,0.85399,0.92134,0.40741,1.83987,1.13816,1.00193,0.0009109,0.0009109,0.0009109
11,1309.46,1.95862,1.36263,1.00926,0.91164,0.83722,0.91345,0.41064,1.82528,1.14186,0.99801,0.000901,0.000901,0.000901
12,1428.06,1.94275,1.32592,1.00778,0.91562,0.82927,0.90704,0.38239,1.89863,1.16525,1.00936,0.0008911,0.0008911,0.0008911
13,1546.64,1.91634,1.35774,1.00511,0.92907,0.86504,0.92168,0.41554,1.7972,1.11617,0.99143,0.0008812,0.0008812,0.0008812
14,1665.09,1.92373,1.30181,1.00257,0.91202,0.8499,0.9089,0.38398,1.90013,1.1554,1.01041,0.0008713,0.0008713,0.0008713
15,1783.96,1.91374,1.31525,1.0124,0.91839,0.85442,0.90731,0.39592,1.85096,1.14852,1.00079,0.0008614,0.0008614,0.0008614
16,1903.01,1.91863,1.31692,0.997,0.93689,0.85073,0.92532,0.41756,1.77567,1.09192,0.98807,0.0008515,0.0008515,0.0008515
17,2023.81,1.8748,1.30042,1.00494,0.90497,0.85873,0.91976,0.40296,1.8435,1.11184,0.99849,0.0008416,0.0008416,0.0008416
18,2143.85,1.91084,1.28931,1.00428,0.91393,0.86757,0.92366,0.40149,1.85252,1.10851,1.00308,0.0008317,0.0008317,0.0008317
19,2263.27,1.889,1.26754,1.008,0.92249,0.86563,0.91876,0.39851,1.86405,1.11341,1.00264,0.0008218,0.0008218,0.0008218
20,2382.68,1.88348,1.24852,1.00573,0.88067,0.87305,0.90932,0.39996,1.85518,1.12583,1.00312,0.0008119,0.0008119,0.0008119
21,2502.23,1.90018,1.29687,0.99506,0.91487,0.86436,0.92427,0.40971,1.83785,1.10604,1.00168,0.000802,0.000802,0.000802
22,2621.2,1.88621,1.2677,0.99606,0.92162,0.87762,0.92225,0.40595,1.83298,1.06979,0.99271,0.0007921,0.0007921,0.0007921
23,2740.15,1.88599,1.2723,0.99651,0.92243,0.87567,0.92547,0.41733,1.83171,1.07136,0.99791,0.0007822,0.0007822,0.0007822
24,2859.16,1.87746,1.24946,1.00646,0.92032,0.86942,0.92356,0.41709,1.83017,1.07168,0.99292,0.0007723,0.0007723,0.0007723
25,2977.81,1.86779,1.2844,0.98118,0.89912,0.85838,0.9079,0.41264,1.82276,1.09982,0.99117,0.0007624,0.0007624,0.0007624
26,3097.79,1.88314,1.25474,0.99496,0.91601,0.85537,0.91114,0.39938,1.86136,1.08446,1.00372,0.0007525,0.0007525,0.0007525
